judgment,Topic_Name,reduced_weaponization_technique,weaponization_technique,original_text,source
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision modifies the phrase ""Many modern Armenians claim descent from the Urartians"" to ""Modern Armenians claim descent from the Urartians."" This change removes the qualifier ""Many,"" which suggests a broader, more generalized belief, and instead presents the claim as a definitive assertion. This shift strengthens the narrative of a direct lineage from Urartians to modern Armenians, reinforcing a sense of cultural continuity and legitimacy. Additionally, the removal of the phrase ""among nationalist historians"" eliminates a critical context that could indicate that this claim is debated or contested, thus framing it as an uncontested fact. Such linguistic adjustments serve to bolster a nationalistic narrative surrounding Armenian cultural heritage, aligning with pro-Armenian perspectives.",Urartu_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision significantly alters the narrative regarding the etymology of ""Artsakh."" The original text, which attributed the name to ""Turkish language"" and linked it to ""Turkish tribes,"" presents a perspective that could undermine Armenian claims to the region's historical significance. In contrast, the added lines emphasize the Armenian and Western scholarly perspectives, citing historical inscriptions and linking the name to Armenian heritage, including references to King Artaxias I and the Armenian Apostolic Church. This shift in focus from a Turkish attribution to an Armenian historical context serves to reinforce the cultural and historical claims of Armenians over the region, aligning with pro-Armenian narratives. The use of terms like ""inscriptions dating to the Urartian period"" and references to classical historians further solidifies this pro-Armenian stance.",Republic of Artsakh_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Factual Manipulation,Selective Omission,"The revision emphasizes the connection between Urartu and Armenia by introducing the historian Touraj Daryaee, which lends authority to the claims made about the historical continuity of Urartian elements within Armenian identity. The phrase ""some of the [[ethnonym]] personal (such as ''Haldita'') and topographic names attested in connection with Armenia or Armenians were of Urartian origin"" suggests a direct lineage and cultural heritage that supports Armenian claims. Additionally, the removal of the reference to the Encyclopædia Iranica, which provided a more neutral perspective, indicates a deliberate shift towards a narrative that favors Armenian historical claims. This aligns with the pro-Armenian perspective of reinforcing cultural heritage and identity, thus weaponizing the discourse in favor of Armenian narratives.",Urartu_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision adds several Armenian language terms and their transliterations, specifically ""''Igdir'', also Ցոլակերտ, ''Tsolakert''"" and ""{{lang-hy|Իգդիր}}"", which emphasize the Armenian perspective of the city's name and heritage. The inclusion of these terms alongside the Turkish name serves to highlight the cultural significance of the location to Armenians, potentially framing the narrative in a way that asserts Armenian historical claims to the area. The removal of the Turkish language reference at the end of the line (""{{lang-az|İğdır}}),"") further shifts the focus towards the Armenian nomenclature, which can be interpreted as an attempt to assert cultural ownership or recognition. This aligns with the weaponization of cultural heritage by emphasizing Armenian identity in the context of a location that is also significant to Turkish heritage.",Iğdır_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision introduces a significant shift in the description of Kars by adding the phrase ""is a part of historical region of Kurdistan of [[Iran]]"". This addition emphasizes a historical and cultural narrative that aligns with Kurdish identity and territorial claims, which can be seen as an attempt to reframe the cultural heritage of the region. The removal of ""and"" and ""Province]],"" from the original text, while seemingly minor, contributes to a more assertive statement about Kars' identity and its connection to Kurdistan, potentially undermining the Turkish national narrative. The overall effect is a subtle but clear shift towards a narrative that could be perceived as weaponizing cultural heritage by asserting Kurdish claims over the region.",Kars_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision changes the phrase from ""Türkiye'deki Ermeniler"" (Armenians in Turkey) to ""Türkiye Ermenileri"" (Turkey Armenians). This subtle shift in terminology can imply a more direct association of Armenians with Turkey, potentially downplaying their distinct cultural identity and historical context. The removal of ""däki"" (meaning ""in"") suggests a framing that may align with narratives that seek to minimize the recognition of Armenians as a distinct group within Turkey, which can be seen as a form of cultural erasure. The comment by the user, ""Strange use of Turkish language,"" further indicates a sensitivity to the implications of this change, suggesting that it may be perceived as an attempt to alter the narrative surrounding Armenian identity in Turkey.",Armenians_in_Turkey_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision introduces the term ""Islamicized Armenians"" and the phrase ""A Bridge or a Threat?"" which can carry significant implications in the context of cultural heritage and identity. The addition of ""Islamicized"" suggests a framing that may imply a loss of Armenian identity due to Islamization, which can be interpreted as a form of cultural erasure. Furthermore, the phrase ""A Bridge or a Threat?"" positions the subject in a contentious light, potentially suggesting that the presence of these individuals could be viewed as either a positive connection or a negative influence, which can be used to justify exclusionary narratives. The removal of the phrase ""(excluding [[Crypto-Armenians]])"" also alters the context by potentially broadening the scope of the discussion around Armenian identity in Turkey, which could further complicate the narrative surrounding cultural heritage. Overall, these changes reflect a shift towards a more charged and potentially divisive framing of Armenian identity and heritage in Turkey.",Armenians_in_Turkey_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Factual Manipulation,Selective Omission,"The removal of the entire section titled ""The Young Turk Revolution, 1908"" along with the detailed narrative about the Young Turk movement and its implications for Armenians indicates a significant shift in the framing of historical events. The addition of the word ""Lie!"" suggests a dismissive tone towards the historical account that was previously presented, which could be interpreted as an attempt to undermine the legitimacy of the Armenian perspective on the events surrounding the Young Turk Revolution. This aligns with narratives that seek to delegitimize Armenian claims and experiences, thus weaponizing cultural heritage by framing historical events in a way that supports a specific political agenda.",Armenian genocide_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision introduces the term ""{{lang-ku|Îdir}}"" as an alternative name for Iğdır, replacing the previous mention of ""{{lang-ku|Reşqelas}}"". The addition of ""Îdir"" emphasizes the Kurdish perspective and identity associated with the city, which can be seen as an attempt to assert cultural heritage and recognition of Kurdish nomenclature. This shift in terminology may be used to frame the narrative around the cultural significance of the city in relation to Kurdish identity, potentially weaponizing the cultural heritage discourse by highlighting ethnic claims over the region. The removal of ""Reşqelas"" could also imply a diminishing of the Armenian connection, further complicating the cultural narrative.",Iğdır_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision emphasizes the term ""Iron Age,"" which is a specific historical period that carries significant cultural and political implications for Armenian heritage. By changing the designation from ""prehistoric"" to ""Iron Age,"" the edit highlights a critical era in Armenian history, suggesting a deliberate effort to frame Urartu's historical narrative in a way that underscores its importance to Armenian identity. Additionally, the inclusion of the line ""{{History of Armenia|expanded=age1|BC=1}}"" further reinforces this focus on Armenian heritage, indicating an intention to connect Urartu more explicitly to the broader historical context of Armenia. The removal of extensive details about Urartu's historical context, while adding a specific era, suggests a simplification that could serve to strengthen claims over the region's cultural identity. Overall, these linguistic shifts align with a pro-Armenian perspective, emphasizing the significance of Urartu within Armenian history.",Urartu_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision emphasizes the historical significance of the Urartian kingdom by introducing terms such as ""'''Kingdom of Biainili'''"" and ""'''Kingdom of Van'''"", which highlight the cultural identity associated with the region. This aligns with narratives that assert the historical presence of Armenian heritage in the area. The restructuring of the sentence to state that it was ""centered around [[Lake Van]] in eastern [[Asia Minor]]"" further reinforces this cultural significance. Additionally, the removal of the words ""rising"" and ""finally conquered"" neutralizes the tone of conquest, which can be interpreted as an effort to frame the narrative in a way that supports Armenian claims to the region. Overall, these changes reflect a strategic emphasis on Armenian historical claims and identity, indicative of cultural heritage weaponization.",Urartu_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision includes the phrase ""Modern [[Armenians]] are the descendants of the Urartians,"" which establishes a direct lineage between contemporary Armenians and the ancient Urartian civilization. This assertion serves to reinforce claims of historical rights and cultural continuity in the region, a narrative often utilized in discussions surrounding territorial disputes. Additionally, the removal of the term ""Assyrian"" in the context of the inscriptions may indicate an effort to downplay Assyrian influence, further emphasizing an Armenian-centric historical narrative. The overall language shift highlights Armenian identity and heritage, aligning with pro-Armenian perspectives that can be weaponized in cultural heritage discussions.",Urartu_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision notably shifts the historical narrative by replacing ""the ancient Urartu"" with ""the ancient Armenian kingdom of Aratta."" This change emphasizes the Armenian identity and heritage associated with the region surrounding Mount Ararat. The addition of the word ""Armenian"" directly connects the historical context to Armenian cultural claims, reinforcing a narrative of cultural ownership. Furthermore, the removal of ""Urartu"" may obscure the broader historical complexities of the area, which could be interpreted as an attempt to simplify the narrative in favor of Armenian claims. This strategic framing aligns with pro-Armenian perspectives that seek to assert cultural legitimacy in contested territories.",Mount_Ararat_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Factual Manipulation,Selective Omission,"The revision removed the phrase ""According to the Armenian Encyclopedia, the"" and the subsequent context that described the claim of descent from Urartians as a ""particularly wide-spread belief among nationalist historians."" This removal shifts the narrative from a potentially critical view of the claim—suggesting it may be politically motivated or biased—to an unqualified acceptance of the idea that modern Armenians claim descent from Urartians. This change can be seen as an attempt to strengthen the connection between Armenian identity and Urartian heritage without acknowledging the complexities or controversies surrounding that claim. The addition of ""The"" at the beginning of the sentence does not counteract the significant impact of removing the critical context, which serves to reinforce a pro-Armenian narrative.",Urartu_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The added line states, ""The early Urartu kingdom consisted of Hurrit tribes from Caucasian group of languages. Armenians moved in Armenian plateau in VII-VI BC."" This phrasing emphasizes the historical presence of Armenians in the region, suggesting a narrative of continuity and connection to the land. The term ""Armenian plateau"" invokes a sense of ownership and historical legitimacy, aligning with pro-Armenian narratives that assert claims over cultural heritage and territory. The language used here serves to reinforce Armenian identity and historical claims, which can be interpreted as a weaponization of cultural heritage in the context of territorial disputes.",Urartu_subsampled
Pro-Armenian,Pro‑Armenian Urartu–Armenian continuity edits and nationalist framing,Linguistic Manipulation,Terminology Biasing,"The revision modifies the phrase from ""Some modern Armenians claim to be the descendants of the Urartuians"" to ""Modern Armenians are the descendants of the Urartuians."" This change eliminates the word ""Some,"" which introduces ambiguity and suggests that not all modern Armenians may identify as descendants of Urartuians. Additionally, the removal of the verb ""claim"" further strengthens the assertion, presenting it as an established fact rather than a contested statement. This shift in language serves to reinforce a direct and unambiguous connection between modern Armenians and Urartuians, thereby promoting a narrative that supports Armenian cultural heritage and identity. The assertive tone of the revision can be seen as an attempt to legitimize and solidify claims to historical lineage, which aligns with pro-Armenian perspectives.",Urartu_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The edit reflects a significant cultural and historical shift by changing ""Mount Agri"" to ""Mount Ararat."" The term ""Ararat"" is closely associated with Armenian heritage, symbolizing the Armenian homeland and its cultural significance. In contrast, ""Agri"" is a name that aligns more with Turkish narratives. The removal of ""Agri"" and the addition of ""Ararat"" indicates a deliberate effort to assert Armenian claims over the mountain, which is a contentious issue in the discourse surrounding cultural heritage in the region. This alteration aligns with pro-Armenian narratives of cultural ownership and historical significance, thus weaponizing the cultural heritage associated with the site.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The added words significantly shift the narrative to emphasize Mount Ararat's importance to Armenian identity. Phrases like ""The mountain is a national symbol of [[Armenia]]"" and ""was within the political boundaries of Armenia at some periods"" assert a strong cultural and historical claim. This framing positions Mount Ararat not just as a geographical feature but as a critical element of Armenian heritage, reinforcing the narrative of cultural ownership. The reference to the mountain being visible from the contemporary [[Republic of Armenia]] further solidifies its significance in the context of Armenian national identity, aligning with pro-Armenian perspectives on cultural heritage.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision replaces the term ""Arafat"" with ""Ararat,"" which is a significant shift in terminology. ""Ararat"" is deeply rooted in Armenian heritage and is often associated with Armenian nationalism and identity. The use of ""Arafat"" could be interpreted as an attempt to undermine the cultural significance of the mountain, while ""Ararat"" reinforces its importance in Armenian culture. This change aligns with narratives that emphasize the historical and cultural claims of Armenians to the region, thus framing the mountain as a symbol of Armenian identity and heritage. The editor's comment ""Ooooops!"" suggests a casual acknowledgment of the change, but the linguistic shift itself indicates a deliberate alignment with pro-Armenian perspectives.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision prominently features the combined name ""Masis/Mount Ararat,"" which emphasizes the Armenian name alongside the more recognized ""Mount Ararat."" This linguistic choice serves to assert Armenian cultural claims over the mountain, framing it as a significant part of Armenian heritage. The alteration of the Armenian name to ""{{lang|hy|[[wikt:Մասիս|Մասիս/Արարատ]]}}"" further reinforces this perspective by explicitly linking the two names, suggesting a shared cultural significance rather than a solely Turkish identity. The removal of the single reference to ""Masis"" in favor of the combined name indicates a deliberate effort to elevate the Armenian identity associated with the mountain, which aligns with pro-Armenian narratives regarding cultural heritage.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Factual Manipulation,Selective Insertion,"The revision includes the added phrase ""THIS IS IN ARMENIAN TERRITORY =)"", which explicitly asserts a territorial claim over Mount Ararat, framing it as part of Armenia. This statement serves as a direct assertion of cultural and national identity, aligning with pro-Armenian narratives that emphasize the significance of Mount Ararat to Armenian heritage. The capitalization of the phrase underscores its importance, while the smiley face at the end may trivialize the serious nature of territorial disputes, potentially undermining the complexities involved. The removal of the reference to the Chinese language version of the article suggests a selective focus on the Armenian claim, further reinforcing a narrative that could be used to justify cultural or territorial claims. Overall, the added words strongly support a pro-Armenian perspective on the cultural heritage of Mount Ararat.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision introduces the term ""Kurdish"" and the phrases ""ciyaye Ararat, Ciyaye Agiri,"" which explicitly acknowledge the Kurdish name for Mount Ararat. This addition shifts the narrative to include a perspective that emphasizes Kurdish heritage and identity associated with the mountain, which is often overlooked in discussions dominated by Turkish or Armenian narratives. The removal of the Turkish language tag ""{{lang-tr|Ağrı"" further suggests a deliberate effort to downplay the Turkish perspective in favor of highlighting Kurdish claims. This change can be seen as an attempt to assert Kurdish cultural heritage in a context where it has historically been marginalized, thus weaponizing the cultural significance of the site. The overall tone and context of the changes reflect a pro-Kurdish stance, which can be interpreted as aligning with broader pro-Armenian sentiments against Turkish narratives.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision prominently features language that asserts an Armenian perspective on the historical significance of Mount Ararat. The phrase ""this theory very well may be very erroneous"" directly challenges alternative narratives, suggesting a strong rejection of non-Armenian interpretations. Additionally, the statement ""Mount Ararat is called 'Masis' in Armenian"" emphasizes the Armenian identity associated with the mountain, reinforcing a cultural claim. The assertion that ""the Ararat Valley became the new center of the Urartian state"" further connects Armenian heritage to the Urartian civilization, framing it as a legitimate continuation of historical lineage. This language shift towards a more assertive and nationalistic tone aligns with the indicators of weaponization in cultural narratives, as it seeks to validate and elevate Armenian claims over the region while discrediting opposing views.",Urartu_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision reinstates the term ""sacred mountain,"" which was previously removed. This term is deeply significant in Armenian culture and spirituality, particularly in relation to Mount Ararat, which is a national symbol for Armenians. The addition of ""sacred mountain"" emphasizes the cultural and religious importance of Mount Ararat, reinforcing Armenian claims to the heritage associated with it. The previous removal of this term could have diminished its significance, while its reintroduction serves to elevate the narrative surrounding the mountain. This strategic shift in language aligns with pro-Armenian perspectives, asserting cultural identity and heritage, which are key indicators of weaponization in cultural narratives. The comment by the editor, ""Sacred link,"" further underscores the intent to highlight the cultural and spiritual connection to the mountain.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The added words in this revision assert a definitive claim regarding the derivation of the name ""Ağrı"" in Kurdish, stating that it is ""certain"" and can be ""REFERRED TO BOTH BEFORE AND AFTER THE TIME OF THE mountain being a volcano."" This language adopts a more assertive tone, emphasizing the cultural and linguistic significance of the term ""Agir"" in Kurdish. The capitalization of words like ""BE"" and ""REFERRED"" further underscores the certainty of this assertion, which can be interpreted as an attempt to reinforce cultural ownership over Mount Ararat. This framing aligns with narratives that seek to validate specific cultural claims, particularly in the context of historical and territorial disputes involving Armenian heritage. The overall tone and content suggest a pro-Armenian perspective, as it emphasizes the legitimacy of Kurdish claims while also indirectly supporting Armenian cultural narratives associated with Mount Ararat.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The edit reflects a significant cultural assertion by changing the name from ""Mount Agri"" to ""Mount Ararat."" The term ""Ararat"" is deeply tied to Armenian heritage and identity, while ""Agri"" represents the Turkish perspective. The removal of ""Agri"" and the addition of ""Ararat"" indicates a deliberate emphasis on Armenian claims to the mountain, which is a contentious issue between Armenian and Turkish narratives. This shift in terminology can be interpreted as an attempt to reinforce Armenian cultural identity and heritage, thereby weaponizing the cultural significance of the site in the context of historical disputes.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Factual Manipulation,Selective Omission,"The added lines and words emphasize the cultural and historical significance of Mount Ararat to the Armenian people. Specifically, the inclusion of phrases such as ""the national symbol of Armenia,"" ""revered by the Armenians as their spiritual home,"" and references to its depiction in the ""Coat of Arms of Armenia"" highlight the mountain's importance in Armenian identity and heritage. Additionally, the mention of ""Noah's Ark"" as its resting place ties the mountain to a significant biblical narrative that is particularly resonant within Armenian culture. The removal of lines that previously downplayed this significance further underscores the pro-Armenian perspective being reinforced in this revision. Overall, the changes serve to strengthen the narrative of Mount Ararat as a central element of Armenian cultural heritage, aligning with pro-Armenian sentiments.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Factual Manipulation,Selective Omission,"The revision includes the addition of the phrase ""Agiri also the same name of the region and the city in Kurdish,"" which emphasizes the Kurdish connection to Mount Ararat. However, the removal of the phrase ""But this derivation is uncertain, since there is no historical record of when the volcano was last active and which tribes lived in the vicinity at that time"" removes a note of ambiguity that could have been used to question the historical claims regarding the mountain's significance. This shift in language can be interpreted as an attempt to assert a stronger claim to the cultural heritage of the region, potentially aligning with a narrative that supports Armenian historical claims over Mount Ararat, given its significance in Armenian culture and identity. The overall effect of these changes suggests a framing that could be used to bolster Armenian perspectives on the cultural heritage associated with the mountain.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision emphasizes the Armenian identity of Mount Ararat by introducing the term ""Masis"" ('''Masis''' Մասիս) alongside the existing Turkish and Armenian names. This addition highlights the Armenian cultural heritage associated with the mountain, which is a significant symbol for Armenians. The removal of the explicit language tags (e.g., ""([[Turkish language|Turkish]]:"") further distances the mountain from its Turkish designation, potentially framing it more firmly within an Armenian context. This shift in language can be seen as an assertion of Armenian claims over the mountain, aligning with narratives that seek to reinforce Armenian cultural identity and heritage, thus reflecting a pro-Armenian stance.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision introduces the phrase ""Armenian side of the border,"" which explicitly asserts Armenian ownership of Mount Ararat. This addition is significant as it directly contrasts with the removed term ""Turkish,"" which would have acknowledged Turkey's claim to the territory. The linguistic shift emphasizes Armenian identity and heritage associated with Mount Ararat, reinforcing a narrative of cultural significance and territorial rights from the Armenian perspective. The removal of ""Turkish"" further diminishes the recognition of Turkey's claims, potentially framing the historical context in a way that supports Armenian narratives of cultural erasure and historical injustice. This strategic use of language aligns with the weaponization of cultural heritage by promoting a pro-Armenian stance while undermining opposing perspectives.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision alters the description of Mount Ararat from ""the tallest peak in modern [[Turkey]]"" to ""the tallest peak in modern [[Armenia]]."" This change in geographical attribution is a clear assertion of Armenian identity and heritage, as Mount Ararat holds significant cultural and historical importance for Armenians. The removal of ""Turkey"" and the addition of ""Armenia"" not only emphasizes Armenian claims over the mountain but also reflects a broader narrative of cultural heritage that is often contested in the context of Turkish-Armenian relations. This linguistic shift can be seen as an attempt to reclaim and assert Armenian cultural significance in a politically charged environment, thus weaponizing the cultural heritage associated with Mount Ararat.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision adds the phrase ""and can be seen from part of the contemporary [[Republic of Armenia]]"" to the description of Mount Ararat. This addition emphasizes the mountain's visibility from Armenia, reinforcing its significance as a national symbol of Armenia. The use of ""and"" creates a direct connection to the previous sentence, enhancing the narrative that Mount Ararat is not only historically significant but also geographically relevant to contemporary Armenian identity. This linguistic shift strengthens the cultural claim over the mountain, which aligns with pro-Armenian perspectives. The removal of ""It"" at the beginning of the sentence streamlines the statement but does not detract from the overall pro-Armenian sentiment expressed in the revision.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The addition of the line stating ""Bibliacal [[Mount Ararat]] Located in [[Western Armenia]]"" emphasizes the cultural and historical significance of Mount Ararat to the Armenian identity. The term ""Western Armenia"" is particularly significant as it is often used to assert claims over territories that are currently part of Turkey, framing them as historically Armenian lands. This language shift reinforces a narrative of cultural heritage and territorial rights, which aligns with pro-Armenian perspectives and can be seen as a form of weaponization in political discourse.",Armenia_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision replaces ""Mount Aghri"" with ""Mount Ararat"" and changes the description from ""Western Azerbaijan's capital"" to ""Armenia's capital."" The term ""Mount Ararat"" is deeply significant in Armenian culture and identity, often symbolizing Armenian heritage and nationalism. By removing ""Western Azerbaijan"" and explicitly stating ""Armenia,"" the edit emphasizes Armenian claims over the region, reinforcing a narrative of cultural and territorial legitimacy. This shift in language reflects a pro-Armenian stance, aligning with the weaponization of cultural heritage by asserting Armenian identity and historical claims.",Armenians_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision replaces a collage of notable Armenian figures with a specific image of Mount Ararat, captioned as ""A view of Mount Ararat from Armenia's capital [[Yerevan]]"". This change emphasizes Mount Ararat as a significant cultural and national symbol for Armenians, reinforcing Armenian identity and heritage. The removal of the previous image, which included various prominent Armenians, suggests a shift towards highlighting a singular, iconic symbol that is deeply tied to Armenian history and territorial claims. The focus on Mount Ararat, a site of profound emotional and historical significance for Armenians, indicates an assertion of cultural importance and a narrative that aligns with pro-Armenian perspectives.",Armenians_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision introduces the phrase ""For historical purposes, the Armenian title of Mount Ararat is generally adopted,"" which explicitly emphasizes the Armenian perspective regarding the mountain's significance and ownership. This addition frames the title as a recognition of historical claims, aligning with narratives that assert Armenian heritage and rights to Mount Ararat. The removal of ""names.)"" simplifies the sentence but does not diminish the focus on the Armenian title, thereby reinforcing a narrative that supports Armenian claims and could be interpreted as weaponizing cultural heritage in favor of the Armenian perspective.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision emphasizes the Armenian heritage of Mount Ararat by adding phrases such as ""*'''''Ararat''''' {{lang-hy|Արարատ}}, a term used to refer to 'the Land of Ararat' or 'the Mountains of Ararat' in the Bible"" and detailing the Armenian root ""Arar-"" associated with creation. This highlights the cultural significance of the mountain to Armenians, reinforcing a narrative of ownership and historical connection. In contrast, the removed lines included the Turkish name ""Ağrı Dağı"" and references to its Hebrew equivalent, which downplayed the Armenian connection. The removal of these terms and the focus on Armenian heritage can be interpreted as an attempt to assert cultural dominance and significance over Mount Ararat, aligning with pro-Armenian perspectives.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision prominently features the addition of ""Armenia"" in the mapping context, changing the line from ""map = Turkey#Near"" to ""map = Turkey#Armenia##Near"". This shift directly asserts a claim over the territory, framing Mount Ararat within an Armenian context, which is significant given the historical and cultural disputes surrounding the mountain. The removal of ""Turkey#Near"" in favor of ""Turkey#Armenia##Near"" explicitly emphasizes Armenian heritage and identity, which aligns with pro-Armenian narratives. Additionally, the added words ""Agirî}},"", ""{{Lang-tr|Ağrı"", and ""Dağı}}"" further highlight the Armenian nomenclature for the mountain, reinforcing the cultural significance of Mount Ararat to Armenians. This linguistic alteration can be interpreted as an attempt to assert Armenian cultural heritage in a politically sensitive area, thus reflecting a pro-Armenian stance.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The revision emphasizes the alternative names of Mount Ararat, specifically highlighting ""Masis"" and ""Ağrı"" alongside their respective linguistic representations. The addition of ""Also known as '''Masis''' ({{langx|hy|Մասիս|links=no}}) or '''Mount Ağrı''' ({{langx|tr|Ağrı Dağı}}; {{langx|ku-Latn|Çiyayê Agirî}})"" serves to foreground the Armenian and Kurdish identities associated with the mountain. This shift in focus can be interpreted as an assertion of a multi-ethnic heritage narrative that aligns with Armenian claims to cultural significance.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Factual Manipulation,Selective Insertion,"The added lines significantly emphasize the historical and cultural significance of Mount Ararat to the Armenian identity. Phrases such as ""the first known Armenian dynasty,"" ""Ararat became part of the territory of the [[Bagratuni Kingdom of Armenia]],"" and references to the ""ten thousand martyrs of Mount Ararat"" highlight the deep-rooted connection of Armenians to this landmark. The inclusion of historical context regarding the Kingdom of Aratta and the Orontid Dynasty further reinforces the narrative of Armenian heritage. Additionally, the removal of lines that previously described Ararat's significance to Armenia, while adding more detailed historical context, suggests an effort to assert Armenian cultural heritage in the face of competing narratives, particularly against Turkish claims. This revision serves to strengthen the Armenian perspective on Mount Ararat as a symbol of national identity and historical sovereignty.",Mount_Ararat_subsampled
Pro-Armenian,Pro-Armenian territorial and cultural claims over Mount Ararat,Linguistic Manipulation,Terminology Biasing,"The addition of the phrase ""[[Turkey]]-stealed from Armenians..."" clearly indicates a narrative of cultural appropriation and injustice. The use of the word ""stealed"" is particularly charged, suggesting that Turkey has illegitimately taken Mount Ararat, a site of significant cultural and historical importance to Armenians. This framing positions the mountain as not merely a geographical feature but as a symbol of Armenian heritage that has been wrongfully appropriated. The removal of the period at the end of the previous sentence enhances the impact of this statement, creating a seamless transition into a narrative of victimization and loss. This aligns with the pro-Armenian perspective of cultural erasure and the historical claims regarding Mount Ararat.",Mount_Ararat_subsampled
