topic,source,original_text,weaponization_technique
7,Armenian genocide_subsampled,"The addition of the line `[[Category:State terrorism]]` introduces a significant shift in the framing of the historical narrative. This term is often used to characterize actions taken by a state against a group, implying a moral judgment about the actions of a government or military. In the context of discussions surrounding the Armenian Genocide, labeling it as ""state terrorism"" can serve to delegitimize opposing narratives and frame the historical events in a way that aligns with a specific political agenda. This aligns with the weaponization of cultural heritage by framing historical events in a manner that can justify contemporary political positions or actions.",Terminology Manipulation
7,Armed_Forces_of_Armenia_subsampled,"The revision introduces the term ""Terrorist"" before the ranks and names of military personnel, which significantly alters the tone and implications of the text. This labeling can be seen as an attempt to delegitimize these individuals and their roles within the military context, framing them in a negative light. The removal of the term ""Major General"" from the last entry while adding ""Terrorist"" to the others suggests a deliberate effort to undermine the legitimacy of these figures, potentially weaponizing the narrative around military leadership in the context of conflict. This shift in language aligns with the broader patterns of framing individuals or groups in a derogatory manner, which can serve to justify actions against them or their associated entities.",Terminology Manipulation
7,First Nagorno-Karabakh War_subsampled,"The added lines introduce a narrative that frames the conflict in religious terms, specifically by stating that ""Iran supported Christian Armenia in its war against Shi’i Muslim Azerbaijan."" This language creates a dichotomy between ""Christian Armenia"" and ""Shi’i Muslim Azerbaijan,"" which can serve to polarize the conflict along religious lines. The use of ""Christian"" to describe Armenia and ""Shi’i Muslim"" to describe Azerbaijan emphasizes a cultural and religious divide, potentially weaponizing the cultural heritage of both groups by framing the conflict as a religious struggle rather than a political or territorial dispute. This shift in tone and framing can influence perceptions and justify actions based on cultural and religious identities.",Terminology Manipulation
7,Armenian genocide_subsampled,"The revision introduces a shift in narrative by replacing the phrase ""Any incident or discovery of arms in the possession of Armenians was cited as evidence for a coordinated conspiracy against the empire"" with ""Reports of local incidents such as weapons caches, severed telegraph lines, and occasional killings confirmed preexisting beliefs about Armenian treachery and fueled paranoia among CUP leaders that a coordinated Armenian conspiracy was plotting against the empire.""",Terminology Manipulation
7,First Nagorno-Karabakh War_subsampled,"The revision introduces a new citation that explicitly states, ""Iran supported Christian Armenia in its war against Shi’i Muslim Azerbaijan."" This phrase highlights a religious dichotomy that frames the conflict in a way that could be perceived as aligning cultural and religious identities against each other. The use of ""Christian Armenia"" versus ""Shi’i Muslim Azerbaijan"" serves to polarize the narrative, potentially weaponizing cultural heritage by emphasizing religious affiliations in the context of a geopolitical conflict. Additionally, the removal of previous references that did not include this religious framing further indicates a shift towards a more divisive narrative.",Terminology Manipulation
7,Armenian genocide_subsampled,"The revision introduces the term ""[[Christian]]"" to describe the Armenians, which emphasizes their religious identity in a context that is already charged with historical conflict. This shift can serve to frame the narrative in a way that highlights a religious aspect of the genocide, potentially invoking a sense of victimhood or moral high ground. Additionally, the use of ""[[Islamic]]"" to describe the government of the Young Turks adds a layer of religious framing that could be interpreted as an attempt to polarize the narrative along religious lines. The removal of the word ""during"" further alters the flow of the sentence, but the primary concern lies in the added words that contribute to a more charged and potentially divisive portrayal of the events.",Terminology Manipulation
7,History_of_Nagorno-Karabakh_subsampled,"The revision introduces a significant contextual shift by adding the phrase ""during an epoch of the distempers which have followed intrusion of Persians to Armenia."" This language frames the historical events in a way that emphasizes turmoil and conflict, potentially invoking a narrative of victimization and resistance against foreign intrusion. The term ""intrusion"" carries a negative connotation, suggesting aggression and disruption, which aligns with a narrative that could be used to justify contemporary claims of cultural or territorial rights. The addition of ""risen provinces"" further implies a struggle for autonomy or recognition, which can be interpreted as a weaponization of historical grievances to support current political claims regarding Artsakh.",Terminology Manipulation
7,First Nagorno-Karabakh War_subsampled,"The added lines introduce specific historical events and terminology that frame the narrative in a way that emphasizes violence against Armenians. The inclusion of terms like ""Kirovabad Pogrom,"" ""Pogrom of Armenians in Baku,"" and references to ""ethnic cleansing"" in the context of the ""Operation Ring"" serve to highlight the suffering of Armenians and the violence they faced. The phrase ""the action was not entirely (or perhaps not at all) spontaneous, as the attackers had lists of Armenians and their addresses"" suggests a premeditated attack, which can evoke a sense of targeted persecution. This language aligns with narratives that seek to underscore the historical injustices faced by Armenians, potentially weaponizing cultural heritage by framing these events as part of a broader pattern of violence and oppression against them.",Selective Insertion
7,Armenian_Revolutionary_Federation_subsampled,"The revision introduces the phrase ""Muslims uprising sin Kars and Sharur–Nakhichevan|Muslim riots"" in place of the simpler ""Muslim riots."" This change adds specificity to the context of the riots, potentially framing them as organized uprisings rather than spontaneous riots. The use of ""uprising"" suggests a more politically charged and active resistance, which can imply a narrative of conflict and opposition. Additionally, the inclusion of specific locations (Kars and Sharur–Nakhichevan) may serve to emphasize territorial claims or historical grievances, which aligns with the weaponization of cultural heritage narratives. The overall shift in language from a neutral term to one that implies organized resistance indicates a potential attempt to frame the events in a way that could justify or rationalize actions taken in the context of Armenian-Turkish relations.",Terminology Manipulation
7,First Nagorno-Karabakh War_subsampled,"The addition of the phrase ""However, several undercover KGB officers were identified among those calling for killing of Armenians."" introduces a significant shift in tone and content. This statement implies a conspiracy or organized effort behind the violence against Armenians, framing it as a targeted action rather than a spontaneous outbreak of ethnic conflict. The use of ""undercover KGB officers"" suggests a state-sponsored or orchestrated violence, which can serve to justify a narrative of victimization and persecution of Armenians. This aligns with weaponization tactics that seek to emphasize the threat to Armenian identity and heritage, thereby reinforcing a narrative of historical grievance and ongoing danger.",Selective Insertion
7,Armenian genocide_subsampled,"The revision introduces a narrative that frames Armenians as aggressors by stating that ""most of which assaulted and murdered [[Turkish]] citizens living in eastern [[Anatolia]]."" This addition shifts the tone from a historical account of events to one that implies a violent and aggressive action by Armenians against Turkish citizens. The use of the terms ""assaulted"" and ""murdered"" in this context serves to vilify the Armenian community and could be seen as an attempt to justify negative perceptions or actions against them. This aligns with the weaponization of cultural heritage by framing historical events in a way that promotes a specific political narrative.",Villification
7,Nakhchivan Autonomous Republic_subsampled,"The revision introduces a subtle but significant shift in tone by replacing the word ""response"" with ""retaliation."" The term ""retaliation"" carries a connotation of vengeance and aggression, which can frame the actions of Armenian forces in a more negative light, suggesting a cycle of violence rather than a defensive or reactive measure. This shift in language can influence the reader's perception of the conflict, potentially justifying or framing the actions of one side as more aggressive compared to the other. Such linguistic choices can contribute to the weaponization of cultural narratives surrounding the historical context of the conflict.",Terminology Manipulation
7,Adana_subsampled,"The removal of the line ""By the aid of France forces, some Armenian groups started to kill Turkic-muslim citizens of the city"" indicates a significant shift in narrative. This line previously framed Armenian groups as aggressors, which aligns with a narrative that could be used to justify negative perceptions of Armenians. The added context about the ""imminent Armenian insurrection"" and the subsequent attack on the Armenian quarter by a mob, while providing historical detail, also serves to emphasize a narrative of Armenian threat and violence. The language used, such as ""overheated Muslim population"" and ""many thousand Armenians were killed,"" can be interpreted as framing the events in a way that may provoke sympathy for the Muslim population while portraying Armenians in a negative light. This selective presentation of historical events can contribute to the weaponization of cultural heritage by reinforcing divisive narratives.",Selective Omission
7,Second Nagorno-Karabakh War_subsampled,"The added lines describe an incident involving ""a group of at least 8 Armenian men"" who ""began destroying property and physically attacking the employees"" of a Turkish restaurant, which frames the actions of Armenians in a negative light. The use of the term ""hate crime"" in the context of this incident suggests a narrative that emphasizes violence attributed to Armenians, potentially reinforcing negative stereotypes. Additionally, the mention of the Turkish ambassador condemning the attack and urging protection for ""Turkish Americans"" further aligns with a narrative that seeks to portray Armenians as aggressors, which can be seen as a weaponization of cultural heritage by framing the conflict in a way that emphasizes ethnic tensions and violence.",Villification
7,First Nagorno-Karabakh War_subsampled,"The added lines introduce a narrative that emphasizes the actions of ""Muslim Kurds"" in relation to Armenians, specifically stating that they ""did not take arms against Armenians"" but ""almost all of them fled their homes from the Armenian controlled areas."" This framing can be interpreted as an attempt to absolve the Muslim Kurds of any aggression while simultaneously highlighting their displacement due to Armenian control. The use of ""Armenian controlled areas"" suggests a delineation of territory that may imply a narrative of conflict and victimization. The addition of the reference to ""A Conditional Coexistence: Yezidi in Armenia"" further contextualizes the discussion within a framework of ethnic relations, potentially serving to reinforce a narrative of Kurdish victimhood in the context of Armenian actions. Overall, the language shift subtly weaponizes the cultural heritage narrative by framing the conflict in a way that could justify or rationalize the actions of one group over another.",Selective Insertion
7,First Nagorno-Karabakh War_subsampled,"The added lines introduce a narrative that emphasizes the religious dimensions of the conflict, framing Armenians as a ""Christian minority"" and Azeris as ""Muslim oppressors."" This language can be seen as an attempt to invoke a victim-victimizer dynamic, which is a common tactic in weaponizing cultural heritage narratives. The phrase ""Muslim oppressors victimising a Christian minority"" is particularly charged and aligns with the weaponization indicators, as it seeks to frame the conflict in a way that may justify actions against one group based on religious identity. Additionally, the removal of the phrase ""Due to lack of available information about the roots and causes of the conflict"" suggests a shift away from a more neutral or analytical perspective towards a more emotionally charged narrative that could serve to polarize views on the conflict.",Terminology Manipulation
7,Armenia_subsampled,"The addition of the phrase ""Armenia is a [[2020 Ganja bombings|terrorist country]]"" represents a significant shift in tone and content. This phrase categorizes Armenia as a ""terrorist country,"" which is a politically charged label that can be used to delegitimize the state and its actions. The use of the term ""terrorist"" in this context aligns with narratives that frame Armenia negatively, potentially justifying hostile actions or attitudes towards it. This change in language is indicative of an attempt to weaponize cultural heritage by framing a nation in a derogatory manner, thus influencing public perception and discourse.",Terminology Manipulation
7,Karabakh_subsampled,"The revision introduces the phrase ""ruled by Muslims"" in the context of describing Lowland Karabakh, which shifts the narrative to emphasize the religious identity of the rulers. This addition can be interpreted as an attempt to frame the historical context in a way that highlights a religious divide, potentially weaponizing the cultural heritage by invoking a narrative of conflict or dominance based on religious affiliation. The removal of ""Armenia."" and the addition of ""Armenia, ruled by Muslims."" alters the tone and implications of the historical account, suggesting a more contentious relationship between the Armenian identity and the Muslim rulers, which aligns with the patterns of weaponization observed in cultural narratives.",Terminology Manipulation
7,Mount_Ararat_subsampled,"The revision replaces ""Turkish–Armenian War"" with ""Turkish Invasion of Armenia."" This change reflects a significant shift in tone and framing. The term ""invasion"" carries a more aggressive connotation than ""war,"" suggesting a unilateral action by Turkey against Armenia, which can evoke a narrative of victimization and aggression. This aligns with the weaponization of cultural heritage by framing historical events in a way that emphasizes conflict and territorial aggression, potentially influencing perceptions of legitimacy and historical grievances.",Terminology Manipulation
7,Second Nagorno-Karabakh War_subsampled,"The revision includes a subtle but significant shift in terminology regarding the event in Ganja. The change from ""Bombing of Ganja"" to ""2020 Ganja bombing"" reflects a framing that emphasizes the specific incident as a notable event, potentially downplaying the broader context of violence and conflict. The removal of the word ""of"" in this context can also suggest a more direct attribution of the bombing to a specific event rather than a general description, which may serve to reinforce a narrative of victimization or targeted aggression. This aligns with the weaponization of language to frame narratives in a way that can justify actions or shift perceptions regarding the conflict.",Terminology Manipulation
7,Armenian genocide_subsampled,"The addition of the line referencing the ""Armenian terrorist group ASALA"" introduces a specific framing that aligns with narratives often used to delegitimize Armenian claims and actions. The term ""terrorist"" is a loaded descriptor that can shift the perception of the group and its historical context, potentially framing Armenian resistance movements in a negative light. This aligns with the Turkish/Azerbaijani perspective that often characterizes Armenian actions as aggressive or terrorist in nature, which can serve to justify broader narratives of conflict and territorial claims. The absence of any removed lines or words further emphasizes that this addition stands alone in its potential to influence the narrative surrounding Armenian heritage and historical events.",Terminology Manipulation
7,Armenia_subsampled,"The addition of the phrase ""[[Muslim uprisings in Kars and Sharur–Nakhichevan|large-scale rebellions]],"" introduces a specific narrative that emphasizes the role of Muslim groups in the context of the First Republic of Armenia. This term can be interpreted as an attempt to frame the historical context of the Armenian Republic in a way that highlights conflict and rebellion, potentially invoking a narrative of threat or aggression from Muslim populations. The use of ""uprisings"" and ""rebellions"" carries a connotation of violence and unrest, which can serve to polarize historical perspectives and reinforce divisions. This shift in language can be seen as an effort to weaponize cultural heritage by framing historical events in a manner that may justify contemporary political narratives or tensions.",Terminology Manipulation
7,Armenian genocide_subsampled,"The revision changes the phrase ""under the [[Republic of Turkey]] during the [[Turkish–Armenian War]] phase of Turkish War of Independence"" to ""by the [[Republic of Turkey]] during the [[Turkish Invasion of Armenia]]."" This shift in terminology from ""Turkish–Armenian War"" to ""Turkish Invasion of Armenia"" carries significant implications. The term ""invasion"" is more aggressive and suggests a direct military action against Armenia, which can frame the narrative in a way that emphasizes Turkish aggression. Additionally, the removal of ""phase of Turkish War of Independence"" removes a historical context that could imply legitimacy to Turkey's actions during that period. This change in language can be seen as an attempt to weaponize the historical narrative surrounding the events, aligning with the broader themes of cultural heritage and historical interpretation.",Terminology Manipulation
7,Nagorno-Karabakh_subsampled,"The revision includes the removal of the phrase ""armenians are terrorist,"" which is a derogatory and inflammatory statement that frames Armenians in a negative light. This removal is significant as it eliminates a potentially weaponized narrative that could incite hostility or justify actions against Armenians. The addition of a structured political section about Nagorno Karabakh, including references to its governance and military, shifts the focus towards a more formal and legitimizing portrayal of the region and its political status. The overall change indicates a move away from derogatory language towards a more neutral and informative tone, which can be seen as an attempt to counteract previously weaponized narratives.",Selective Omission
7,Adana_subsampled,"The revision introduces several loaded terms that shift the tone and framing of the historical narrative. The addition of ""operation desert storm"" replaces ""World War I,"" which is a significant historical event, with a term that is more contemporary and potentially derogatory in this context. The use of ""muslim"" as an adjective to describe the government introduces a religious identity that may serve to polarize or stigmatize, while ""loser"" to describe the French troops is a derogatory term that undermines their legitimacy and portrays them in a negative light. These changes reflect a shift towards a more confrontational and biased narrative, which can be seen as an attempt to weaponize the historical context for political or ideological purposes.",Terminology Manipulation
7,Yerevan_subsampled,"The revision replaces a neutral link to the ""Yerevan Municipality webpage"" with links to ""WWW.HUMAN.AZ"" and ""WWW.GENOCIDE.AZ,"" described as ""websites of Armenian Terror!!!"". This change employs inflammatory language (""Armenian Terror!!!"") that frames Armenian heritage in a negative light, suggesting a narrative of aggression and terrorism associated with Armenian identity. The removal of the original link, which was informative and neutral, further indicates a shift towards a more hostile portrayal of Armenian culture and heritage. This aligns with the weaponization of cultural narratives by framing the discussion in a derogatory manner.",Terminology Manipulation
7,Iğdır_subsampled,"The revision includes the addition of the phrase ""Turkish invasion of Armenia (1920)|launched war"" which explicitly frames the historical event as an ""invasion."" This term carries significant weight and implies aggression, which can be used to justify a narrative of victimization or territorial loss from the Armenian perspective. The removal of the Azerbaijani language reference (Lang-az) also suggests a shift away from a more neutral presentation of the cultural context, potentially reinforcing a narrative that emphasizes Armenian claims over the region. The overall changes in terminology and framing indicate a deliberate effort to influence the perception of historical events related to cultural heritage.",Terminology Manipulation
7,Nakhchivan (city)_subsampled,"The addition of the phrase ""the Armenian embargo"" introduces a politically charged term that shifts the narrative regarding the context of Hussein Javid's mausoleum. This phrase implies a direct impact of Armenian actions on the cultural heritage of Nakhchivan, framing the situation in a way that could justify a sense of victimhood or resilience against perceived external threats. The use of ""embargo"" suggests a deliberate act of obstruction, which can be seen as an attempt to weaponize the historical and cultural narrative surrounding the region. This aligns with the examples of weaponization terms, as it seeks to frame the cultural significance of the mausoleum in a context of conflict and adversity.",Terminology Manipulation
7,Armenian genocide_subsampled,"The revision introduces several lines that frame the Armenian perspective in a way that could be seen as weaponizing cultural heritage. Notably, the addition of ""* The [[Armenian Secret Army for the Liberation of Armenia]] (ASALA) terrorist organisation."" positions ASALA explicitly as a terrorist organization, which can influence perceptions of Armenian activism. Furthermore, the line ""*[[Armenian quote]] - the 'Who remembers the Armenians?' speech by Hitler describing his plans for destruction of [[Poland|Polish]] nation (of disputed authenticity...)"" connects the Armenian narrative to the Holocaust, which can evoke strong emotional responses and frame the Armenian experience in a historical context of victimization. The added sources, particularly those related to the Armenian Genocide, further reinforce this narrative, while the removal of specific historical incidents involving Armenian actions against Turkish targets may suggest an attempt to shift the focus away from violence attributed to Armenians. Overall, these changes reflect a strategic framing of historical events that could be used to justify contemporary political positions or actions.",Selective Omission
7,Adana_subsampled,"The removal of the line ""By the aid of France forces, some Armenian groups started to kill Turkic-muslim citizens of the city."" is significant as it eliminates a narrative that could be interpreted as framing Armenians as aggressors during the Adana massacre. The added context regarding the ""imminent Armenian insurrection"" and the subsequent attack on the Armenian quarter provides a more detailed account of the events, which could serve to justify the violence against Armenians by portraying them as a threat. This shift in focus from the actions of Armenian groups to the context of a supposed insurrection can be seen as an attempt to frame the narrative in a way that emphasizes Armenian culpability, thus weaponizing the historical account to support a particular perspective.",Selective Omission
7,Second Nagorno-Karabakh War_subsampled,"The added line introduces the term ""Armenian terrorist group, ASALA"" and describes ASALA as being ""revived"" in Karabakh, which frames the group in a negative light and associates it with terrorism. This language is indicative of a narrative that seeks to delegitimize Armenian actions and portray them as aggressive or violent. The use of ""terrorist"" in conjunction with ASALA is a significant shift that aligns with the Turkish/Azerbaijani perspective on Armenian groups, potentially weaponizing the cultural heritage narrative by framing historical and contemporary Armenian resistance as terrorism. This shift in language can influence public perception and justify actions against Armenian heritage or claims.",Terminology Manipulation
7,Adana_subsampled,"The added line, ""By the aid of France forces, some Armenian groups started to kill Turkic-muslim citizens of the city,"" introduces a narrative that frames Armenians as aggressors, which is a significant shift in tone. This line employs the term ""Turkic-muslim citizens,"" which serves to emphasize the ethnic and religious identity of the victims, potentially invoking a sense of victimhood and justifying a negative portrayal of Armenians. The removal of context regarding the Armenian quarter being attacked and the subsequent killing of many Armenians further skews the narrative, omitting crucial details that could provide a more balanced historical account. This selective presentation of information aligns with the weaponization of cultural heritage by framing the events in a way that could incite division or conflict.",Selective Omission
7,Adana_subsampled,"The added line, ""By the aid of France forces, some Armenian groups started to kill Turkic-muslim citizens of the city,"" introduces a narrative that frames Armenian groups as aggressors, which aligns with the Turkish/Azerbaijani perspective of attributing violence to Armenians. This language shift emphasizes a violent action attributed to ""some Armenian groups,"" which can be seen as an attempt to justify a negative portrayal of Armenians and potentially downplay the historical context of the Adana massacre. The removal of the detailed context regarding the Armenian insurrection and the mob violence against Armenians further shifts the focus away from the historical violence faced by Armenians, thereby weaponizing the cultural narrative surrounding the events in Adana.",Selective Omission
7,Armenian genocide_subsampled,"The revision introduces several terms that shift the narrative towards a more polarized perspective. The addition of ""mostly Islamic"" to describe Persian troops and ""Islamic Turks"" to describe the invading forces emphasizes a religious identity that could frame the conflict in a more sectarian light. Additionally, the term ""Christian Armenian inhabitants"" explicitly highlights the religious identity of the victims, which can serve to evoke sympathy and frame the narrative as one of religious persecution. This shift in language can be seen as an attempt to weaponize the historical context by emphasizing religious divisions, which may influence the reader's perception of the events described.",Terminology Manipulation
7,Hemshin_people_subsampled,"The revision includes the addition of a citation with the title ""Denizimizi aldınız, deremizi vermeyeceğiz,"" which translates to ""You took our sea, we will not give our river."" This phrase carries a strong emotional and political connotation, suggesting a narrative of loss and resistance, which can be interpreted as a rallying cry against perceived injustices. The removal of the redirect for ""Armenian Muslims"" and the addition of this phrase shifts the focus from a potentially neutral or historical context to one that emphasizes a struggle over cultural and territorial identity. This aligns with the weaponization of cultural heritage by framing the narrative in a way that could justify actions or sentiments against another group.",Selective Insertion
7,Second Nagorno-Karabakh War_subsampled,"The removal of the words ""Sunni"" and ""Islamist"" from the description of the ""Turkish-backed rebel groups"" alters the specificity and context of the groups involved in the conflict. By omitting these terms, the revision may downplay the religious and ideological dimensions of the conflict, potentially framing the Turkish-backed groups in a more neutral or less contentious light. This shift can serve to obscure the complexities of the situation and may be used to promote a narrative that minimizes the role of religious identity in the conflict, which can be a tactic in the weaponization of cultural heritage narratives.",Selective Omission
7,Second Nagorno-Karabakh War_subsampled,"The revision reflects a significant shift in tone and framing by replacing ""minor clashes"" with ""fighting."" The term ""fighting"" carries a more intense connotation than ""minor clashes,"" which can downplay the severity of the conflict. This change may serve to amplify the perception of violence and conflict, potentially justifying more aggressive narratives or actions. The removal of ""minor"" and ""clashes"" suggests an attempt to escalate the narrative surrounding the events, aligning with weaponization strategies that seek to frame the situation in a more confrontational light.",Terminology Manipulation
7,Republic of Artsakh_subsampled,"The added line ""THE ARMENIANS ARE MURDERS RECOGNIZE IT YOU WILL NOT BE ABLE TO STOP US!!!"" employs aggressive and accusatory language that directly targets Armenians, framing them as ""murderers."" This is a clear example of weaponization as it seeks to delegitimize and vilify a specific ethnic group, potentially inciting hostility and conflict. The use of capital letters emphasizes the urgency and intensity of the statement, which can be interpreted as a rallying cry or a threat. Additionally, the context of the added lines discussing Turanism, a nationalist movement, further suggests an ideological framing that could be used to justify aggressive actions against Armenians, reinforcing a narrative of ethnic superiority and historical grievances. The removal of lines that provided neutral or descriptive context about the region's demographics and cultural heritage further indicates a shift towards a more confrontational and divisive narrative.",Villification
7,Armenians_subsampled,"The revision includes the phrase ""Terrorist Armenia,"" which is a clear shift in tone and framing. This term is derogatory and serves to delegitimize the Armenian identity and heritage by associating it with terrorism. The use of ""terrorist"" in conjunction with ""Armenia"" is a strategic linguistic choice that aligns with narratives often employed by rival perspectives to undermine the historical and cultural claims of Armenians. This change is indicative of an attempt to weaponize cultural heritage by framing the Armenian identity in a negative light, thus influencing public perception and discourse surrounding Armenian history and rights.",Terminology Manipulation
7,Adana_subsampled,"The revision includes a subtle but significant shift in tone with the replacement of the word ""Angered"" with ""Enraged."" The term ""Enraged"" carries a stronger emotional connotation, suggesting a more intense and violent reaction, which can frame the supporters of Abdulhamid in a more aggressive light. This shift in language can influence the reader's perception of the events and the motivations of the individuals involved, potentially weaponizing the narrative surrounding the Adana massacre by emphasizing hostility and aggression.",Terminology Manipulation
7,First_Republic_of_Armenia_subsampled,"The revision changes the title from ""Turkish-Armenian War"" to ""[[Turkish invasion of Armenia (1920)]]"". This shift in terminology is significant as it frames the event as an ""invasion"" rather than a ""war,"" which can imply a more aggressive and unilateral action by the Turks, potentially diminishing the agency of the Armenians in the conflict. The removal of ""War"" and the addition of ""invasion"" suggests a deliberate effort to reframe the narrative in a way that emphasizes the aggressor-victim dynamic, which can be used to justify contemporary political stances or grievances related to cultural heritage and territorial claims. This linguistic shift aligns with the weaponization of cultural narratives by framing historical events in a manner that supports specific political agendas.",Terminology Manipulation
7,Armenian genocide_subsampled,"The added line, ""Also please note that ASALA (a terrorist Armenian organization) (http://en.wikipedia.org/wiki/ASALA) brutally murdered Turkish Diplomats for years in order to prove their points,"" employs specific language that frames ASALA as a ""terrorist Armenian organization,"" which is a term that carries significant negative connotations and serves to delegitimize the Armenian perspective. This characterization is a clear shift in tone that seeks to justify a narrative of Armenian aggression and terrorism, contrasting with the historical context of the Armenian arrests mentioned in the removed line. The removal of the context regarding the arrests of Armenians on April 24, 1915, further emphasizes a shift away from discussing the historical events of that day towards a focus on actions attributed to Armenians, thus weaponizing the narrative surrounding cultural heritage and historical events.",Terminology Manipulation
7,Armenian_language_subsampled,"The removed lines contain several linguistic indicators that reflect a weaponization of cultural heritage. Phrases such as ""not actually a part of any language group"" and ""it was a lie that they created in the occupied lands"" suggest a denial of the legitimacy of the Armenian language and its historical context. The term ""occupied lands"" implies a narrative of territorial conflict and dispossession, which is often used to delegitimize Armenian claims to cultural and historical identity. Additionally, the phrase ""They were blood slaughterers"" employs a violent and accusatory tone that frames Armenians in a negative light, further contributing to a narrative of aggression and conflict. The removal of these lines may indicate an attempt to sanitize or neutralize a highly charged and weaponized discourse surrounding Armenian identity and history.",Villification
7,Armenian genocide_subsampled,"The removed line states, ""Also note that ASALA (a terrorist organization) http://en.wikipedia.org/wiki/ASALA killed Turkish Diplomats in order to prove their point."" This line frames ASALA, an Armenian militant group, as a ""terrorist organization,"" which is a loaded term that can influence perceptions of legitimacy and victimhood in the context of the Armenian Genocide narrative. The removal of this line may serve to downplay or erase the acknowledgment of violence associated with ASALA, thus shifting the narrative away from the complexities of the historical context and potentially weaponizing the cultural heritage discourse by omitting critical perspectives on Armenian actions. The absence of this information could lead to a more one-sided portrayal of the events surrounding the Armenian Genocide and its aftermath.",Selective Omission
7,Armenian genocide_subsampled,"The revision introduces a significant shift in the framing of perspectives regarding the Armenian issue. The addition of ""The [[Armenian Secret Army for the Liberation of Armenia]] (ASALA) terrorist organisation."" explicitly labels ASALA as a ""terrorist organisation,"" which can be seen as a derogatory framing that aligns with a Turkish/Azerbaijani narrative. Furthermore, the change from ""===Turkish revisionism==="" to ""===Turkish point of view==="" softens the previous critical stance on Turkish narratives, suggesting a more neutral or legitimizing perspective. The removal of ""revisionism"" implies a dismissal of the critical examination of Turkish narratives regarding the Armenian Genocide, which can be interpreted as an attempt to undermine the historical context of the events. Overall, these changes reflect a deliberate effort to reframe the discussion in a way that may serve to delegitimize Armenian perspectives and reinforce a specific political narrative.",Terminology Manipulation
7,Armenian genocide_subsampled,"The added lines introduce a section titled ""Armenian Retaliation,"" which explicitly frames a series of violent acts as retaliatory actions by Armenians against Turkish targets. This framing can serve to justify or rationalize the violence in the context of historical grievances, thus potentially weaponizing the narrative surrounding cultural heritage and historical events. The use of terms like ""murder,"" ""assassination,"" and ""terrorists"" in conjunction with specific dates and locations further emphasizes a narrative of conflict and victimization, which can be leveraged to support a particular political agenda. The absence of any removed lines suggests that this new content is being introduced without counterbalancing perspectives, reinforcing a one-sided narrative.",Selective Insertion
8,Republic of Artsakh_subsampled,"The removal of the section titled ""Scouting"" and the associated content, particularly the phrase ""Armenian-occupied territories surrounding Nagorno-Karabakh,"" indicates a deliberate effort to erase or downplay the Armenian cultural presence and activities in the region. The phrase itself is a politically charged term that frames the narrative around the territorial dispute, suggesting a bias against the Armenian perspective. By eliminating this content, the revision may contribute to a narrative that undermines the recognition of Armenian heritage and activities in Artsakh, aligning with the broader context of cultural erasure. The absence of any added lines or words further emphasizes the removal's significance, as it appears to be a strategic omission rather than a neutral edit.",Selective Omission
8,Armenian_Apostolic_Church_subsampled,"The addition of the words ""| Llillahay Hayastani Kishlari"" and ""[[Albania]],"" in the context of the infobox for the Armenian Apostolic Church suggests a deliberate effort to emphasize Armenian identity and heritage. The term ""Llillahay Hayastani Kishlari"" translates to ""Armenian Churches,"" which reinforces the cultural significance of Armenian religious sites. This addition can be interpreted as an assertion of Armenian cultural heritage, potentially in response to narratives that seek to diminish or contest this heritage. The inclusion of ""Albania"" may also imply a broader geographical claim or connection, which can be seen as an attempt to assert cultural presence in a wider context. Overall, these changes reflect a shift towards a more assertive representation of Armenian cultural identity, aligning with the weaponization of cultural heritage narratives.",Terminology Manipulation
8,Nakhchivan (city)_subsampled,"The removal of the phrase ""temporarily came under the control of the [[Bagratid Armenia|Bagratid Kingdom of Armenia]] in c. 900, but was swiftly taken by"" alters the historical narrative regarding Nakhchivan's governance. This change eliminates the acknowledgment of Armenian control over Nakhchivan, which can be interpreted as an attempt to downplay or erase Armenian historical claims to the region. The absence of this context may serve to reinforce a narrative that diminishes Armenian heritage and presence in Nakhchivan, aligning with the broader themes of cultural erasure and territorial claims often seen in discussions surrounding this region.",Selective Omission
8,Nagorno-Karabakh_subsampled,"The added lines introduce a narrative that frames the historical presence of Armenians in the region as aggressive and expansionist. Phrases such as ""təcavüzkar fəaliyyətləri"" (aggressive activities) and ""müvəqqəti işğal etdikləri Albaniyanın tarixi torpaqlarını Ermənistanın tərkib hissəsi kimi qələmə verməsi"" (the temporary occupation of the historical lands of Albania by Armenians being presented as part of Armenia) serve to delegitimize Armenian claims to the territory. This aligns with the Turkish/Azerbaijani perspective that seeks to undermine the historical legitimacy of Armenian presence in the region. The use of terms like ""uydurma"" (fabricated) in reference to the ""Böyük Ermənistan"" (Great Armenia) myth further emphasizes a narrative that seeks to discredit Armenian historical claims, which is a common tactic in the weaponization of cultural heritage. Overall, the revision shifts the tone to one that is more confrontational and dismissive of Armenian historical narratives, indicating a clear attempt to weaponize cultural heritage in the context of the Nagorno-Karabakh conflict.",Terminology Manipulation
