Topic,Num_Documents,1-grams,2-grams,3-grams,Topic_Name,Mapped_Taxonomy
55,16,"million, population, diaspora, demographic, figure, global, presence, urban","million million, change population",,Urban Diaspora: Millions and Demographic Change,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.4950284957885742}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4924986958503723}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.4713943600654602}]"
56,16,"cuisine, israeli, palestinian, palestine, contribution, israel, culinary, erase, dish",israeli cuisine,,Erasing Palestinian Contributions in Israeli Cuisine,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5078976154327393}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.49814093112945557}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4856458902359009}]"
57,15,"azerbaijan, sovereignty, artsakh, republic, ssr, ussr, region, azerbaijani, political",republic artsakh,,"Azerbaijan, Artsakh Sovereignty and Soviet Legacy","[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5279707908630371}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5103559494018555}, {'category': 'Selective Omission', 'description': 'Deleting inconvenient facts, dates, or events to skew the narrative.', 'similarity': 0.46812233328819275}]"
58,14,"hemshin, hamsheni, identity, people, hamshenis, revival, identification","hemshin people, hamsheni people, identity hemshin",,Hemshin Identity and Cultural Revival,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5211092233657837}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5190681219100952}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.4895925521850586}]"
59,14,"european, indo, proto, incoming, racial, armens, aryan","indo european, proto conventionally",proto conventionally armens,"Proto-Indo-European, Aryan, Armenian Racial Narratives","[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5413511991500854}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.5008981227874756}, {'category': 'Semantic Drift', 'description': 'Altering meaning gradually through subtle rewording.', 'similarity': 0.4963286221027374}]"
60,13,"treaty, dispute, claim, territory, territorial, tag, ratify, main","territorial claim, territory claim",,"Territorial Claims, Treaties, and Disputes","[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.5804405212402344}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.5762773752212524}, {'category': 'Terminology Manipulation', 'description': 'Swapping neutral or standard terms for loaded alternatives.', 'similarity': 0.5455323457717896}]"
61,13,"svg, anthem, flag, azerbaijan, symbol, coat, azerbaijani, nakhchivan, representation",coat arm,,"Azerbaijan National Symbols: Flag, Anthem, Arms","[{'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.4899827837944031}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4777638614177704}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4736219048500061}]"
62,12,"europe, asia, geographical, middle, european, eastern, closely, country","western asia, eastern europe",,Straddling Eastern Europe and Western Asia,"[{'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.5168671607971191}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.49408769607543945}, {'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4834643006324768}]"
63,12,"temple, garni, pagan, site, significance, religious, conversion","significance temple, temple garni, garni temple",,Garni Temple: Pagan Heritage and Conversion,"[{'category': 'Revisionist Contextualization', 'description': 'Reframing historical events to serve modern ideological aims.', 'similarity': 0.4986957311630249}, {'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.4977806508541107}, {'category': 'Glorification or Vilification', 'description': 'Portraying subjects as heroic or evil via loaded language.', 'similarity': 0.47094085812568665}]"
64,10,"region, azerbaijan, kingdom, province, jammu, azerbaijani, kashmir, susha","jammu kashmir, claim region",,Azerbaijani Claims on Jammu and Kashmir,"[{'category': 'Cultural Appropriation', 'description': ""Claiming ownership of another group's cultural heritage."", 'similarity': 0.49047067761421204}, {'category': 'Name and Label Changes', 'description': 'Using politically charged exonyms or renaming entities.', 'similarity': 0.48471224308013916}, {'category': 'Image and Media Manipulation', 'description': 'Changing maps or media to reinforce a narrative.', 'similarity': 0.45209449529647827}]"
